2017/7/1,26℃,22℃,大雨,东南风 1级
2017/7/2,31℃,24℃,阵雨,南风 2级
2017/7/3,33℃,24℃,阵雨,南风 2级
2017/7/4,33℃,25℃,阵雨,南风 2级
2017/7/5,33℃,27℃,阵雨,南风 1级
2017/7/6,34℃,27℃,多云,南风 2级
2017/7/7,32℃,27℃,阵雨,南风 2级
2017/7/8,32℃,26℃,小雨,南风 2级
2017/7/9,29℃,24℃,大雨,南风 2级
2017/7/10,32℃,24℃,多云,西南风 1级
2017/7/11,33℃,26℃,多云,东南风 1级
2017/7/12,34℃,27℃,多云,西南风 2级
2017/7/13,35℃,28℃,多云,南风 2级
2017/7/14,35℃,28℃,多云,北风 1级
2017/7/15,35℃,28℃,多云,北风 微风
2017/7/16,36℃,27℃,多云,南风 1级
2017/7/17,36℃,28℃,晴,北风 微风
2017/7/18,35℃,28℃,多云,南风 2级
2017/7/19,35℃,28℃,多云,南风 2级
2017/7/20,35℃,28℃,阴,西南风 2级
2017/7/21,36℃,28℃,晴,北风 1级
2017/7/22,37℃,28℃,晴,西南风 2级
2017/7/23,38℃,28℃,晴,北风 微风
2017/7/24,39℃,28℃,晴,北风 微风
2017/7/25,39℃,29℃,晴,西北风 1级
2017/7/26,39℃,29℃,晴,西风 1级
2017/7/27,40℃,29℃,晴,北风 微风
2017/7/28,38℃,28℃,多云,北风 3级
2017/7/29,36℃,27℃,多云,北风 2级
2017/7/30,35℃,27℃,多云,东北风 2级
2017/7/31,31℃,26℃,阵雨,北风 3级
2017/8/1,31℃,21℃,多云,东南风 4级
2017/8/2,32℃,23℃,多云,东南风 1级
2017/8/3,33℃,24℃,阵雨,东北风 5级
2017/8/4,29℃,20℃,小雨,东风 4级
2017/8/5,24℃,16℃,大雨,北风 3级
2017/8/6,26℃,18℃,多云,西南风 2级
2017/8/7,29℃,20℃,晴,北风 1级
2017/8/8,31℃,23℃,多云,南风 2级
2017/8/9,28℃,23℃,大雨,东南风 3级
2017/8/10,28℃,22℃,中雨,北风 3级
2017/8/11,28℃,22℃,阴,西南风 2级
2017/8/12,26℃,22℃,小雨,西北风 1级
2017/8/13,25℃,21℃,小雨,北风 2级
2017/8/14,27℃,21℃,多云,北风 2级
2017/8/15,25℃,18℃,小雨,西风 2级
2017/8/16,29℃,19℃,多云,西风 3级
2017/8/17,31℃,21℃,多云,北风 微风
2017/8/18,30℃,22℃,多云,南风 2级
2017/8/19,31℃,22℃,阴,西南风 2级
2017/8/20,15℃,13℃,中雨,西南风 1级
2017/8/21,31℃,23℃,阵雨,东北风 2级
2017/8/22,32℃,24℃,阴,西南风 2级
2017/8/23,28℃,23℃,大雨,东南风 2级
2017/8/24,31℃,23℃,阴,西风 1级
2017/8/25,30℃,23℃,阵雨,东北风 1级
2017/8/26,31℃,21℃,小雨,西南风 3级
2017/8/27,31℃,23℃,多云,西南风 3级
2017/8/28,30℃,23℃,阵雨,西风 2级
2017/8/29,31℃,24℃,多云,西风 1级
2017/8/30,27℃,22℃,大雨,南风 1级
2017/8/31,23℃,15℃,中雨,东北风 2级
2017/9/1,26℃,18℃,多云,南风 2级
2017/9/2,23℃,16℃,大雨,北风 5级
2017/9/3,25℃,14℃,多云,东风 2级
2017/9/4,27℃,15℃,多云,东北风 5级
2017/9/5,24℃,15℃,阵雨,北风 3级
2017/9/6,21℃,16℃,小雨,西风 1级
2017/9/7,24℃,15℃,多云,西南风 2级
